Date,Case
2020-01-22,1
2020-01-23,1
2020-01-24,2
2020-01-25,2
2020-01-26,5
2020-01-27,5
2020-01-28,5
2020-01-29,6
2020-01-30,6
2020-01-31,8
2020-02-01,8
2020-02-02,8
2020-02-03,11
2020-02-04,11
2020-02-05,11
2020-02-06,12
2020-02-07,12
2020-02-08,12
2020-02-09,12
2020-02-10,12
2020-02-11,13
2020-02-12,13
2020-02-13,14
2020-02-14,14
2020-02-15,14
2020-02-16,14
2020-02-17,15
2020-02-18,16
2020-02-19,16
2020-02-20,16
2020-02-21,16
2020-02-22,16
2020-02-23,16
2020-02-24,17
2020-02-25,18
2020-02-26,19
2020-02-27,19
2020-02-28,19
2020-02-29,26
2020-03-01,39
2020-03-02,57
2020-03-03,79
2020-03-04,113
2020-03-05,184
2020-03-06,247
2020-03-07,417
2020-03-08,538
2020-03-09,630
2020-03-10,797
2020-03-11,1156
2020-03-12,1596
2020-03-13,2222
2020-03-14,2952
2020-03-15,3234
2020-03-16,4667
2020-03-17,6450
2020-03-18,9156
2020-03-19,13663
2020-03-20,20064
2020-03-21,26056
2020-03-22,34944
2020-03-23,46096
2020-03-24,56714
2020-03-25,68841
2020-03-26,86662
2020-03-27,105253
2020-03-28,127417
2020-03-29,143544
2020-03-30,165698
2020-03-31,192079
2020-04-01,223254
2020-04-02,255530
2020-04-03,287931
2020-04-04,319776
2020-04-05,349016
2020-04-06,380798
2020-04-07,410834
2020-04-08,441897
2020-04-09,477507
2020-04-10,511790
2020-04-11,540714
2020-04-12,567022
2020-04-13,594165
2020-04-14,622493
2020-04-15,648390
2020-04-16,678028
2020-04-17,711135
2020-04-18,738464
2020-04-19,763886
2020-04-20,793970
2020-04-21,820045
2020-04-22,849926
2020-04-23,881891
2020-04-24,913856
2020-04-25,944770
2020-04-26,970741
2020-04-27,995390
2020-04-28,1019963
2020-04-29,1046815
2020-04-30,1076517
2020-05-01,1111409
2020-05-02,1138174
2020-05-03,1161907
2020-05-04,1185709
2020-05-05,1209728
2020-05-06,1234210
2020-05-07,1261949
2020-05-08,1289132
2020-05-09,1313586
2020-05-10,1332332
2020-05-11,1351409
2020-05-12,1374791
2020-05-13,1394806
2020-05-14,1420696
2020-05-15,1445547
2020-05-16,1469597
2020-05-17,1488326
2020-05-18,1510634
2020-05-19,1531136
2020-05-20,1553962
2020-05-21,1579114
2020-05-22,1602942
2020-05-23,1623131
2020-05-24,1643305
2020-05-25,1662399
2020-05-26,1681125
2020-05-27,1699888
2020-05-28,1721155
2020-05-29,1746237
2020-05-30,1769317
2020-05-31,1788236
2020-06-01,1806076
2020-06-02,1826166
2020-06-03,1845322
2020-06-04,1873256
2020-06-05,1899695
2020-06-06,1919964
2020-06-07,1937790
2020-06-08,1954689
2020-06-09,1975010
2020-06-10,1996728
2020-06-11,2019006
2020-06-12,2044564
2020-06-13,2068721
2020-06-14,2087622
2020-06-15,2108621
2020-06-16,2133170
2020-06-17,2160220
2020-06-18,2188447
2020-06-19,2219501
2020-06-20,2251327
2020-06-21,2277163
2020-06-22,2306964
2020-06-23,2345694
2020-06-24,2381945
2020-06-25,2421243
2020-06-26,2470289
2020-06-27,2511043
2020-06-28,2553968
2020-06-29,2595264
2020-06-30,2645088
2020-07-01,2694210
2020-07-02,2749154
2020-07-03,2800657
2020-07-04,2846602
2020-07-05,2900332
2020-07-06,2943498
2020-07-07,3000728
2020-07-08,3061034
2020-07-09,3120690
2020-07-10,3189548
2020-07-11,3249987
2020-07-12,3310119
2020-07-13,3369485
2020-07-14,3435147
2020-07-15,3501175
2020-07-16,3571990
2020-07-17,3638462
2020-07-18,3702784
2020-07-19,3761716
2020-07-20,3822379
2020-07-21,3890573
2020-07-22,3958119
2020-07-23,4026006
2020-07-24,4101153
2020-07-25,4165354
2020-07-26,4221194
2020-07-27,4280918
2020-07-28,4345748
2020-07-29,4409876
2020-07-30,4479120
2020-07-31,4543696
2020-08-01,4601276
2020-08-02,4648385
2020-08-03,4690071
2020-08-04,4751729
2020-08-05,4806078
2020-08-06,4866258
2020-08-07,4926845
2020-08-08,4990778
2020-08-09,5045045
2020-08-10,5096662
2020-08-11,5153618
2020-08-12,5208863
2020-08-13,5260520
2020-08-14,5330645
2020-08-15,5383041
2020-08-16,5417703
2020-08-17,5455552
2020-08-18,5500454
2020-08-19,5546338
2020-08-20,5591469
2020-08-21,5639060
2020-08-22,5684735
2020-08-23,5716646
2020-08-24,5750569
2020-08-25,5793243
2020-08-26,5835318
2020-08-27,5885836
2020-08-28,5932307
2020-08-29,5975408
2020-08-30,6009539
2020-08-31,6042902
2020-09-01,6084880
2020-09-02,6124841
2020-09-03,6169982
2020-09-04,6218318
2020-09-05,6261943
2020-09-06,6291062
2020-09-07,6315625
2020-09-08,6342372
2020-09-09,6376010
2020-09-10,6415458
2020-09-11,6460081
2020-09-12,6505665
2020-09-13,6545957
2020-09-14,6578522
2020-09-15,6615700
2020-09-16,6653992
2020-09-17,6699310
2020-09-18,6749496
2020-09-19,6795273
2020-09-20,6836883
2020-09-21,6868927
2020-09-22,6907199
2020-09-23,6948318
2020-09-24,6997199
2020-09-25,7044336
2020-09-26,7087884
2020-09-27,7121663
2020-09-28,7159403
2020-09-29,7201437
2020-09-30,7240070
2020-10-01,7286316
2020-10-02,7339761
2020-10-03,7389041
2020-10-04,7422172
2020-10-05,7459530
2020-10-06,7504076
2020-10-07,7553214
2020-10-08,7611105
2020-10-09,7666185
2020-10-10,7721553
2020-10-11,7768453
2020-10-12,7810535
2020-10-13,7860659
2020-10-14,7919101
2020-10-15,7982638
2020-10-16,8052813
2020-10-17,8107645
2020-10-18,8159818
2020-10-19,8227702
2020-10-20,8289442
2020-10-21,8350148
2020-10-22,8429769
2020-10-23,8511431
2020-10-24,8589807
2020-10-25,8650782
2020-10-26,8715346
2020-10-27,8792570
2020-10-28,8879046
2020-10-29,8970339
2020-10-30,9070188
2020-10-31,9157531
2020-11-01,9235361
2020-11-02,9317169
2020-11-03,9441936
2020-11-04,9542200
2020-11-05,9670281
2020-11-06,9797339
2020-11-07,9924404
2020-11-08,10044078
2020-11-09,10161034
2020-11-10,10297589
2020-11-11,10445272
2020-11-12,10604069
2020-11-13,10783587
2020-11-14,10947637
2020-11-15,11087354
2020-11-16,11240441
2020-11-17,11405087
2020-11-18,11577056
2020-11-19,11769359
2020-11-20,11971026
2020-11-21,12150847
2020-11-22,12297434
2020-11-23,12478945
2020-11-24,12652507
2020-11-25,12832721
2020-11-26,12949971
2020-11-27,13164608
2020-11-28,13332834
2020-11-29,13473178
2020-11-30,13628096
2020-12-01,13825212
2020-12-02,14021377
2020-12-03,14241608
2020-12-04,14476983
2020-12-05,14698992
2020-12-06,14878319
2020-12-07,15073780
2020-12-08,15300837
2020-12-09,15516852
2020-12-10,15753796
2020-12-11,15992706
2020-12-12,16217240
2020-12-13,16408837
2020-12-14,16618677
2020-12-15,16844993
2020-12-16,17079802
2020-12-17,17320054
2020-12-18,17568005
2020-12-19,17773856
2020-12-20,17961053
2020-12-21,18157913
2020-12-22,18363849
2020-12-23,18585289
2020-12-24,18798236
2020-12-25,18925408
2020-12-26,19142846
2020-12-27,19278802
2020-12-28,19452104
2020-12-29,19658082
2020-12-30,19876375
2020-12-31,20191459
2021-01-01,20370367
2021-01-02,20642648
2021-01-03,20846039
2021-01-04,21031555
2021-01-05,21264419
2021-01-06,21524179
2021-01-07,21810433
2021-01-08,22114510
2021-01-09,22379262
2021-01-10,22590111
2021-01-11,22794080
2021-01-12,23015894
2021-01-13,23245238
2021-01-14,23480819
2021-01-15,23725816
2021-01-16,23943499
2021-01-17,24120058
2021-01-18,24260884
2021-01-19,24417785
2021-01-20,24605182
2021-01-21,24797743
2021-01-22,24989518
2021-01-23,25167699
2021-01-24,25307842
2021-01-25,25437444
2021-01-26,25588454
2021-01-27,25743910
2021-01-28,25910675
2021-01-29,26074413
2021-01-30,26225350
2021-01-31,26338205
2021-02-01,26463526
2021-02-02,26580556
2021-02-03,26704926
2021-02-04,26829960
2021-02-05,26961070
2021-02-06,27077929
2021-02-07,27167357
2021-02-08,27250158
2021-02-09,27345537
2021-02-10,27440818
2021-02-11,27547593
2021-02-12,27648176
2021-02-13,27738936
2021-02-14,27807242
2021-02-15,27862692
2021-02-16,27921916
2021-02-17,27990762
2021-02-18,28063341
2021-02-19,28138493
2021-02-20,28212275
2021-02-21,28267539
2021-02-22,28323023
2021-02-23,28396884
2021-02-24,28471907
2021-02-25,28549184
2021-02-26,28624603
2021-02-27,28695889
2021-02-28,28747650
2021-03-01,28798094
2021-03-02,28856511
2021-03-03,28923564
2021-03-04,28992510
2021-03-05,29060390
2021-03-06,29121421
2021-03-07,29163030
2021-03-08,29207128
2021-03-09,29262633
2021-03-10,29320406
2021-03-11,29382197
2021-03-12,29444801
2021-03-13,29501621
2021-03-14,29540897
2021-03-15,29591931
2021-03-16,29645996
2021-03-17,29705270
2021-03-18,29767659
2021-03-19,29829293
2021-03-20,29888158
2021-03-21,29923536
2021-03-22,29970963
2021-03-23,30023822
2021-03-24,30111580
2021-03-25,30179209
2021-03-26,30255581
2021-03-27,30319636
2021-03-28,30365956
2021-03-29,30431828
2021-03-30,30493519
2021-03-31,30563051
2021-04-01,30639910
2021-04-02,30713935
2021-04-03,30778816
2021-04-04,30816739
2021-04-05,30883829
